study_x,plot,tree,unique_id,tph,age,volume_m,predicted_volume_m,model
RH,1110,48,RH-1110-48,618,14,0.633142838,0.599742251,RF
RH,1110,48,RH-1110-48,618,15,0.696998143,0.701562146,RF
RH,1110,51,RH-1110-51,618,9,0.225963251,0.23662772,RF
RH,1110,51,RH-1110-51,618,10,0.300703044,0.296961901,RF
RH,1110,51,RH-1110-51,618,11,0.408686806,0.40320871,RF
RH,1110,51,RH-1110-51,618,12,0.491433534,0.467418183,RF
RH,1110,51,RH-1110-51,618,13,0.564555204,0.587994661,RF
RH,1110,51,RH-1110-51,618,14,0.687766114,0.645778138,RF
RH,1110,51,RH-1110-51,618,15,0.797288047,0.794381094,RF
RH,1110,52,RH-1110-52,618,9,0.055082341,0.068955546,RF
RH,1110,52,RH-1110-52,618,10,0.075502019,0.075378326,RF
RH,1110,52,RH-1110-52,618,11,0.094135089,0.107462186,RF
RH,1110,52,RH-1110-52,618,12,0.111995975,0.115098314,RF
RH,1110,52,RH-1110-52,618,13,0.13954427,0.161597452,RF
RH,1110,52,RH-1110-52,618,14,0.162320279,0.166039281,RF
RH,1110,52,RH-1110-52,618,15,0.184292654,0.18570693,RF
RH,1110,53,RH-1110-53,618,9,0.334162022,0.277513165,RF
RH,1110,53,RH-1110-53,618,10,0.395525844,0.330384608,RF
RH,1110,53,RH-1110-53,618,11,0.442482998,0.400828281,RF
RH,1110,53,RH-1110-53,618,12,0.512336328,0.460443418,RF
RH,1110,53,RH-1110-53,618,13,0.575748263,0.571625712,RF
RH,1110,53,RH-1110-53,618,14,0.664816487,0.599120089,RF
RH,1110,53,RH-1110-53,618,15,0.687803575,0.66607131,RF
RH,1110,54,RH-1110-54,618,9,0.255815228,0.234204312,RF
RH,1110,54,RH-1110-54,618,10,0.309485951,0.285565354,RF
RH,1110,54,RH-1110-54,618,11,0.359820368,0.348422048,RF
RH,1110,54,RH-1110-54,618,12,0.414004217,0.392169917,RF
RH,1110,54,RH-1110-54,618,13,0.452174881,0.460382964,RF
RH,1110,54,RH-1110-54,618,14,0.533126789,0.49362127,RF
RH,1110,54,RH-1110-54,618,15,0.575748263,0.55929757,RF
RH,1110,55,RH-1110-55,618,9,0.159676957,0.167547204,RF
RH,1110,55,RH-1110-55,618,10,0.195020634,0.17960913,RF
RH,1110,55,RH-1110-55,618,11,0.227645531,0.23051388,RF
RH,1110,55,RH-1110-55,618,12,0.255815228,0.241204164,RF
RH,1110,55,RH-1110-55,618,13,0.30148184,0.320115545,RF
RH,1110,55,RH-1110-55,618,14,0.334162022,0.32997035,RF
RH,1110,55,RH-1110-55,618,15,0.368588141,0.365618297,RF
RH,1110,56,RH-1110-56,618,9,0.214249709,0.207571777,RF
RH,1110,56,RH-1110-56,618,10,0.255815228,0.247112379,RF
RH,1110,56,RH-1110-56,618,11,0.293589176,0.298971329,RF
RH,1110,56,RH-1110-56,618,12,0.34260658,0.340392425,RF
RH,1110,56,RH-1110-56,618,13,0.395525844,0.407960706,RF
RH,1110,56,RH-1110-56,618,14,0.452174881,0.430532093,RF
RH,1110,56,RH-1110-56,618,15,0.502076112,0.511902386,RF
